id,room_no,type,max_capacity,school_id/id
room_7_408,408,classroom,30,school_7
room_8_1111,1111,classroom,30,school_8
room_8_1112,1112,classroom,30,school_8
room_8_1113,1113,classroom,30,school_8
room_8_1114,1114,classroom,30,school_8
room_8_208,208,classroom,30,school_8
room_8_209,209,classroom,30,school_8
room_8_301,301,classroom,30,school_8
room_8_302,302,classroom,30,school_8
room_8_304,304,classroom,30,school_8
room_8_405,405,classroom,30,school_8
room_8_406,406,classroom,30,school_8
room_8_407,407,classroom,30,school_8
room_8_409,409,classroom,30,school_8
room_5_103,103,classroom,30,school_5
room_5_11,11,classroom,30,school_5
room_5_12,12,classroom,30,school_5
room_5_202,202,classroom,30,school_5
room_5_205,205,classroom,30,school_5
room_5_208,208,classroom,30,school_5
room_5_22,22,classroom,30,school_5
room_5_302,302,classroom,30,school_5
room_5_303,303,classroom,30,school_5
room_5_305,305,classroom,30,school_5
room_5_307,307,classroom,30,school_5
room_5_309,309,classroom,30,school_5
room_5_405,405,classroom,30,school_5
room_5_406,406,classroom,30,school_5
room_5_407,407,classroom,30,school_5
room_5_409,409,classroom,30,school_5
room_5_410,410,classroom,30,school_5
room_ub_103,103,classroom,30,school_ub
room_ub_104,104,classroom,30,school_ub
room_ub_107,107,classroom,30,school_ub
room_ub_11,11,classroom,30,school_ub
room_ub_121,121,classroom,30,school_ub
room_ub_125,125,classroom,30,school_ub
room_ub_126,126,classroom,30,school_ub
room_ub_131,131,classroom,30,school_ub
room_ub_140,140,classroom,30,school_ub
room_ub_146,146,classroom,30,school_ub
room_ub_150,150,classroom,30,school_ub
room_ub_151,151,classroom,30,school_ub
room_ub_200,200,classroom,30,school_ub
room_ub_201,201,classroom,30,school_ub
room_ub_202,202,classroom,30,school_ub
room_ub_203,203,classroom,30,school_ub
room_ub_204,204,classroom,30,school_ub
room_ub_205,205,classroom,30,school_ub
room_ub_206,206,classroom,30,school_ub
room_ub_22,22,classroom,30,school_ub
room_ub_221,221,classroom,30,school_ub
room_ub_222,222,classroom,30,school_ub
room_ub_223,223,classroom,30,school_ub
room_ub_230,230,classroom,30,school_ub
room_ub_232,232,classroom,30,school_ub
room_ub_241,241,classroom,30,school_ub
room_ub_242,242,classroom,30,school_ub
room_ub_243,243,classroom,30,school_ub
room_ub_248,248,classroom,30,school_ub
room_ub_303,303,classroom,30,school_ub
room_ub_305,305,classroom,30,school_ub
room_ub_307,307,classroom,30,school_ub
room_ub_322,322,classroom,30,school_ub
room_ub_324a,324a,classroom,30,school_ub
